| Version  | Processes |        TimeInit        |       TimeCount       |   Speedup_timeInit   |  Efficiency_timeInit  |  Speedup_timeCount   |  Efficiency_timeCount  |
|  Serial  |     1     |      0.000181125       | 0.0005693571428571429 |         1.0          |          1.0          |         1.0          |          1.0           |
| Parallel |     1     | 0.00014911764705882353 | 0.0006717647058823529 |  1.2146449704142013  |   1.2146449704142013  |  0.847554415811859   |   0.847554415811859    |
| Parallel |     2     | 0.00024166666666666664 | 0.0010380000000000003 |  0.6170385395537527  |   0.3085192697768763  |  0.6471721636631529  |  0.32358608183157644   |
| Parallel |     4     | 0.0002562777777777778  | 0.0015670714285714283 |  0.5818594509123831  |  0.14546486272809578  |  0.4286752305188451  |  0.10716880762971127   |
| Parallel |     8     | 0.0015838823529411763  |  0.011781846153846155 | 0.09414692119141352  |  0.01176836514892669  | 0.05701693071786182  |  0.007127116339732727  |
| Parallel |     16    |        0.029606        |  0.31794630769230764  | 0.005036737386300869 | 0.0003147960866438043 | 0.002112824365717915 | 0.00013205152285736968 |
