| Version  | Processes |        TimeInit       |      TimeCount       |   Speedup_timeInit  | Efficiency_timeInit  |  Speedup_timeCount   |  Efficiency_timeCount |
|  Serial  |     1     | 0.0016747222222222224 | 0.009485416666666666 |         1.0         |         1.0          |         1.0          |          1.0          |
| Parallel |     1     |       0.0016945       | 0.008676615384615385 |  0.9883282515327367 |  0.9883282515327367  |  1.0932162192512735  |   1.0932162192512735  |
| Parallel |     2     |  0.001593181818181818 | 0.012403599999999999 |  1.0635948644793154 |  0.5317974322396577  |  0.6995239595452438  |   0.3497619797726219  |
| Parallel |     4     | 0.0011943076923076922 | 0.019945200000000003 |  1.4188136029885354 | 0.35470340074713386  |  0.4350227315151206  |  0.10875568287878015  |
| Parallel |     8     |  0.003229545454545454 | 0.04263514285714286  |  0.5246868402533428 | 0.06558585503166785  | 0.20350853317621176  |  0.02543856664702647  |
| Parallel |     16    |  0.029999538461538466 |  0.6772508666666667  | 0.05648420232106134 | 0.003530262645066334 | 0.012811523486592882 | 0.0008007202179120551 |
